Id,Status,Person > Department > Type,Person > Brand,Location,Project,Bid Link,Task,Type,Department,Step,Date,Logged Hours,Start Time,Stop Time,Pay Period
4787116,sub,COGS,Folks,TO,GladiatorSportsStoryUP,ASS103,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/27/24,1.333333,5/27/24 14:20,5/27/24 15:40,TO - PayPeriod 12 - 05/19/2024
4787117,sub,COGS,Folks,TO,GladiatorSportsStoryUP,ASS103,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/27/24,1.333333,5/27/24 15:40,5/27/24 17:00,TO - PayPeriod 12 - 05/19/2024
4787124,,COGS,Folks,MT,Misc,,,Time Off Unpaid,Grooming,,5/27/24,8,5/27/24 9:00,5/27/24 17:00,MT - PayPeriod 12 - 05/19/2024
4787130,sub,COGS,Folks,MT,GladiatorSportsStoryUP,ASS103,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/27/24,1.25,5/27/24 7:45,5/27/24 9:00,MT - PayPeriod 12 - 05/19/2024
4787131,sub,COGS,Folks,MT,GladiatorSportsStoryUP,ASS103,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/27/24,1.5,5/27/24 9:00,5/27/24 10:30,MT - PayPeriod 12 - 05/19/2024
4787132,sub,COGS,Folks,BO,Misc,,,Time Off Unpaid,Lighting,,5/27/24,8,5/27/24 10:00,5/27/24 18:00,BO - PayPeriod 10 - 05/16/2024
4787161,sub,COGS,Folks,MT,Monster,MTR204,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/27/24,3,5/27/24 9:00,5/27/24 12:00,MT - PayPeriod 12 - 05/19/2024
4787174,sub,COGS,Folks,BO,Misc,,,Meeting,Animation,,5/27/24,0.5,5/27/24 10:00,5/27/24 10:30,BO - PayPeriod 10 - 05/16/2024
4787175,sub,COGS,Folks,MT,FightNight,FIN101,MAT - Matte Painting (Shot),Worktime,Environment,MAT - Matte Painting (Shot),5/27/24,5.5,5/27/24 5:15,5/27/24 10:45,MT - PayPeriod 12 - 05/19/2024
4787176,sub,COGS,Folks,BO,Misc,,,Meeting,Animation,,5/27/24,1,5/27/24 10:30,5/27/24 11:30,BO - PayPeriod 10 - 05/16/2024
4787185,sub,COGS,Folks,BO,Misc,,,Meal Break,Animation,,5/27/24,1,5/27/24 14:00,5/27/24 15:00,BO - PayPeriod 10 - 05/16/2024
4787190,sub,COGS,Folks,BO,Misc,,,Meeting,Animation,,5/27/24,0.5,5/27/24 17:00,5/27/24 17:30,BO - PayPeriod 10 - 05/16/2024
4787196,sub,COGS,Folks,BO,Misc,,,Vacation,Compositor,,5/27/24,8,5/27/24 10:00,5/27/24 18:00,BO - PayPeriod 10 - 05/16/2024
4787213,sub,COGS,Folks,BO,Misc,,,Worktime,Animation,,5/27/24,0.5,5/27/24 10:00,5/27/24 10:30,BO - PayPeriod 10 - 05/16/2024
4787219,sub,COGS,Folks,BO,Misc,,,Meal Break,Animation,,5/27/24,1,5/27/24 14:00,5/27/24 15:00,BO - PayPeriod 10 - 05/16/2024
4787225,sub,COGS,Folks,BO,Misc,,,Worktime,Animation,,5/27/24,0.5,5/27/24 17:00,5/27/24 17:30,BO - PayPeriod 10 - 05/16/2024
4787233,sub,COGS,Folks,BO,Verne,JV203,ANM - Blocking,Worktime,Animation,ANM - Animation (Shot),5/27/24,1.5,5/27/24 10:30,5/27/24 12:00,BO - PayPeriod 10 - 05/16/2024
4787234,sub,SG&A,Fuse,LA,FolksUnitTests,FUT789,,Worktime,Pipeline & Development,CMP - Compositing (Shot),5/27/24,1.5,5/27/24 9:30,5/27/24 11:00,LA - PayPeriod 12 - 05/20/2024
4787244,sub,COGS,Folks,TO,FightNight,FIN101,Comp,Worktime,Compositor,CMP - Compositing (Shot),5/27/24,2,5/27/24 9:00,5/27/24 11:00,TO - PayPeriod 12 - 05/19/2024
4787251,sub,COGS,El Ranchito,MD,TrainingUP,TRN501,mdl-edgarTeba,Worktime,CG Artist,MDL - Modeling (Asset),5/27/24,2,5/27/24 6:00,5/27/24 8:00,MD - PayPeriod 5 - 05/01/2024
4787252,sub,COGS,El Ranchito,MD,erp_cads,,model_high,Worktime,CG Artist,,5/27/24,2,5/27/24 4:00,5/27/24 6:00,MD - PayPeriod 5 - 05/01/2024
4787257,sub,COGS,El Ranchito,MD,el Ranchito Admin,,,Meal Break,CG Artist,,5/27/24,1,5/27/24 8:00,5/27/24 9:00,MD - PayPeriod 5 - 05/01/2024
4787262,sub,COGS,El Ranchito,MD,TrainingUP,TRN501,mdl-edgarTeba,Worktime,CG Artist,MDL - Modeling (Asset),5/27/24,3,5/27/24 9:00,5/27/24 12:00,MD - PayPeriod 5 - 05/01/2024
4787267,sub,COGS,Folks,TO,FightNight,FIN101,Lineup,Worktime,Compositor,CON - Conform (Shot),5/27/24,0.25,5/27/24 11:00,5/27/24 11:15,TO - PayPeriod 12 - 05/19/2024
4787273,sub,non-artist COGS,Folks,TO,OutTheKitchen,OTK106,CMP - Compositing (Shot),Worktime,Composite Supervision,CMP - Compositing (Shot),5/27/24,4,5/27/24 9:30,5/27/24 13:30,TO - PayPeriod 12 - 05/19/2024
4787274,sub,non-artist COGS,Folks,TO,Misc,,,Meal Break,Composite Supervision,,5/27/24,0.5,5/27/24 13:30,5/27/24 14:00,TO - PayPeriod 12 - 05/19/2024
4787276,sub,COGS,Folks,BO,NooUP,NOO710,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/27/24,2,5/27/24 9:15,5/27/24 11:15,BO - PayPeriod 10 - 05/16/2024
4787285,sub,COGS,Folks,TO,FullJawn,FLJ101,CPT - Concept (Shot),Worktime,Environment,CPT - Concept (Shot),5/27/24,1.5,5/27/24 9:45,5/27/24 11:15,TO - PayPeriod 12 - 05/19/2024
4787303,sub,COGS,Folks,TO,FightNight,FIN101,Lineup,Worktime,Compositor,CON - Conform (Shot),5/27/24,0.25,5/27/24 11:15,5/27/24 11:30,TO - PayPeriod 12 - 05/19/2024
4787304,sub,non-artist COGS,Folks,MT,Monster,MTR204,CMP - Compositing (Shot),Worktime,Composite Supervision,CMP - Compositing (Shot),5/27/24,4,5/27/24 8:00,5/27/24 12:00,MT - PayPeriod 12 - 05/19/2024
4787305,sub,COGS,Folks,MT,GladiatorSportsStoryUP,ASS105,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/27/24,5,5/27/24 11:30,5/27/24 16:30,MT - PayPeriod 12 - 05/19/2024
4787309,,SG&A,Fuse,BC,FuseFX Admin,,,Worktime,Information Technology,,5/27/24,3.5,5/27/24 11:30,5/27/24 15:00,BC - PayPeriod 12 - 05/19/2024
4787310,,SG&A,Fuse,BC,FuseFX Admin,,,Meal Break,Information Technology,,5/27/24,0.75,5/27/24 15:00,5/27/24 15:45,BC - PayPeriod 12 - 05/19/2024
4787311,,SG&A,Fuse,BC,FuseFX Admin,,,Worktime,Information Technology,,5/27/24,5.75,5/27/24 15:45,5/27/24 21:30,BC - PayPeriod 12 - 05/19/2024
4787324,sub,COGS,Folks,BO,ElDolor,ED101,Lighting,Worktime,Lighting,LGT - Lighting (Shot),5/27/24,1,5/27/24 10:30,5/27/24 11:30,BO - PayPeriod 10 - 05/16/2024
4787325,sub,SG&A,Folks,MT,Misc,,,Worktime,Marketing,,5/27/24,4,5/27/24 9:00,5/27/24 13:00,MT - PayPeriod 12 - 05/19/2024
4787326,sub,SG&A,Folks,MT,Misc,,,Meal Break,Marketing,,5/27/24,1,5/27/24 13:00,5/27/24 14:00,MT - PayPeriod 12 - 05/19/2024
4787327,sub,SG&A,Folks,MT,Misc,,,Worktime,Marketing,,5/27/24,4,5/27/24 14:00,5/27/24 18:00,MT - PayPeriod 12 - 05/19/2024
4787328,sub,SG&A,Folks,MT,Misc,,,Worktime,Manager,,5/27/24,3,5/27/24 9:30,5/27/24 12:30,MT - PayPeriod 12 - 05/19/2024
4787329,sub,SG&A,Folks,MT,Misc,,,Worktime,Manager,,5/27/24,5,5/27/24 13:00,5/27/24 18:00,MT - PayPeriod 12 - 05/19/2024
4787339,sub,COGS,Folks,TO,FightNight,FIN101,Lineup,Worktime,Compositor,CON - Conform (Shot),5/27/24,0.25,5/27/24 11:30,5/27/24 11:45,TO - PayPeriod 12 - 05/19/2024
4787340,sub,COGS,Folks,MT,Monster,MTR204,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/27/24,5,5/27/24 13:00,5/27/24 18:00,MT - PayPeriod 12 - 05/19/2024
