Id,Status,Person > Department > Type,Person > Brand,Location,Project,Bid Link,Task,Type,Department,Step,Date,Logged Hours,Start Time,Stop Time,Pay Period
4694797,sub,COGS,Folks,MT,Casper,CA310,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/11/2024,4,04/11/2024 14:00,04/11/2024 18:00,MT - PayPeriod 9 - 04/07/2024
4694809,sub,COGS,Folks,SG,Casper,CA310,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,0.5,04/12/2024 15:00,04/12/2024 15:30,SG - PayPeriod 9 - 04/07/2024
4694810,sub,COGS,Folks,MT,Casper,CA309,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1.5,04/12/2024 12:45,04/12/2024 14:15,MT - PayPeriod 9 - 04/07/2024
4694812,sub,COGS,Folks,MT,Casper,CA309,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/10/2024,2,04/10/2024 15:00,04/10/2024 17:00,MT - PayPeriod 9 - 04/07/2024
4694850,sub,COGS,Folks,TO,OutTheKitchen,OTK104,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1.25,04/12/2024 14:00,04/12/2024 15:15,TO - PayPeriod 9 - 04/07/2024
4694851,sub,COGS,Folks,TO,Trap,TRAP100,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1,04/12/2024 15:30,04/12/2024 16:30,TO - PayPeriod 9 - 04/07/2024
4694852,sub,COGS,Folks,TO,Trap,TRAP100,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,8,04/12/2024 09:00,04/12/2024 17:00,TO - PayPeriod 9 - 04/07/2024
4694853,sub,non-artist COGS,Folks,BO,Verne,JV204,Comp,Worktime,VFX Supervision,CMP - Compositing (Shot),04/12/2024,0.5,04/12/2024 15:00,04/12/2024 15:30,BO - PayPeriod 7 - 04/01/2024
4694854,sub,COGS,Folks,MT,Casper,CA309,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1.25,04/12/2024 14:15,04/12/2024 15:30,MT - PayPeriod 9 - 04/07/2024
4694885,sub,COGS,Fuse,NY,GoodDoctorUP,BLP707,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/08/2024,2.5,04/08/2024 13:00,04/08/2024 15:30,NY - PayPeriod 9 - 04/08/2024
4694886,sub,COGS,Fuse,NY,GoodDoctorUP,BLP707,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/08/2024,2,04/08/2024 15:30,04/08/2024 17:30,NY - PayPeriod 9 - 04/08/2024
4694890,sub,COGS,Fuse,NY,GoodDoctorUP,BLP707,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/09/2024,3,04/09/2024 10:00,04/09/2024 13:00,NY - PayPeriod 9 - 04/08/2024
4694891,sub,COGS,Fuse,NY,GoodDoctorUP,BLP707,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/09/2024,2.5,04/09/2024 13:00,04/09/2024 15:30,NY - PayPeriod 9 - 04/08/2024
4694900,sub,COGS,Fuse,NY,GoodDoctorUP,BLP707,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/10/2024,2.25,04/10/2024 14:00,04/10/2024 16:15,NY - PayPeriod 9 - 04/08/2024
4694903,sub,COGS,Folks,MT,Casper,CA309,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1,04/12/2024 15:00,04/12/2024 16:00,MT - PayPeriod 9 - 04/07/2024
4694927,sub,COGS,Folks,TO,FullJawn,FLJ101,Comp,Worktime,Environment,CMP - Compositing (Shot),04/12/2024,1,04/12/2024 15:45,04/12/2024 16:45,TO - PayPeriod 9 - 04/07/2024
4694935,sub,COGS,Folks,MT,Casper,CA309,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,0.25,04/12/2024 15:30,04/12/2024 15:45,MT - PayPeriod 9 - 04/07/2024
4694982,sub,COGS,Folks,TO,OutTheKitchen,OTK104,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1,04/12/2024 10:00,04/12/2024 11:00,TO - PayPeriod 9 - 04/07/2024
4695003,sub,COGS,Folks,BO,Verne,JV205,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,2.5,04/12/2024 13:45,04/12/2024 16:15,BO - PayPeriod 7 - 04/01/2024
4695023,sub,non-artist COGS,Folks,BO,Verne,JV204,Comp,Worktime,VFX Supervision,CMP - Compositing (Shot),04/12/2024,1.25,04/12/2024 20:00,04/12/2024 21:15,BO - PayPeriod 7 - 04/01/2024
4695128,sub,COGS,Folks,MT,Casper,CA309,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,0.5,04/12/2024 16:00,04/12/2024 16:30,MT - PayPeriod 9 - 04/07/2024
4695173,sub,COGS,Folks,BO,ElDolor,ED101,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1.25,04/12/2024 16:00,04/12/2024 17:15,BO - PayPeriod 7 - 04/01/2024
4695175,sub,COGS,Folks,MT,Casper,CA309,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,0.5,04/12/2024 16:30,04/12/2024 17:00,MT - PayPeriod 9 - 04/07/2024
4695178,sub,COGS,Folks,SG,Casper,CA309,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/09/2024,2,04/09/2024 15:00,04/09/2024 17:00,SG - PayPeriod 9 - 04/07/2024
4695180,sub,COGS,Folks,SG,Casper,CA310,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/08/2024,2,04/08/2024 15:00,04/08/2024 17:00,SG - PayPeriod 9 - 04/07/2024
4695181,sub,COGS,Folks,SG,Casper,CA310,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/08/2024,2,04/08/2024 13:00,04/08/2024 15:00,SG - PayPeriod 9 - 04/07/2024
